product_name,brand,declared_allergens,contains_gluten,contains_dairy,contains_nuts,contains_soy,contains_eggs,contains_fish,source_dataset
41022,,,False,False,False,False,False,False,Dietary restrictions
6111184009520,,,False,False,False,False,False,False,Dietary restrictions
6111259344068,,"en:milk, en:nuts, en:soybeans",False,True,True,True,False,False,Declared allergens + Dietary restrictions
6111259345782,,,False,False,False,False,False,False,Dietary restrictions
6111259347106,,,False,False,False,False,False,False,Dietary restrictions
6111265930385&quot;,,,False,False,False,False,False,False,Dietary restrictions
8643729134216,,en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
AQUAFINA,,,False,False,False,False,False,False,Dietary restrictions
Ain Soltan,,,False,False,False,False,False,False,Dietary restrictions
Ain soltane 50cl,,,False,False,False,False,False,False,Dietary restrictions
Albane,,,False,False,False,False,False,False,Dietary restrictions
Aqua sierra nevada,,,False,False,False,False,False,False,Dietary restrictions
Asta black,,,False,False,False,False,False,False,Dietary restrictions
Aïn Ifrane,,,False,False,False,False,False,False,Dietary restrictions
Aïn saïss,,,False,False,False,False,False,False,Dietary restrictions
AïnIfrane,,,False,False,False,False,False,False,Dietary restrictions
Bahia,,,False,False,False,False,False,False,Dietary restrictions
Balsamic Vinegar of Modena,,en:sulphur-dioxide-and-sulphites,False,False,False,False,False,False,Declared allergens + Dietary restrictions
Beurre badaouia,,,False,False,False,False,False,False,Dietary restrictions
Breton,,,False,False,False,False,False,False,Dietary restrictions
Chargement…,,,False,False,False,False,False,False,Dietary restrictions
Chips chili,,,False,False,False,False,False,False,Dietary restrictions
Chocao energie,,,False,False,False,False,False,False,Dietary restrictions
Confiture de figue,,,False,False,False,False,False,False,Dietary restrictions
Confiture de fraise,,,False,False,False,False,False,False,Dietary restrictions
Cosumar Sucre Granule - Granulated Sugar,,,False,False,False,False,False,False,Dietary restrictions
Creem cheese,,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
Crem,,,False,False,False,False,False,False,Dietary restrictions
Cristal huile de table,,en:soybeans,False,False,False,True,False,False,Declared allergens + Dietary restrictions
Dalaa 550 feuilles,,,False,False,False,False,False,False,Dietary restrictions
Danao frz limon hh,,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
Danino,,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
DoliGrippe,,,False,False,False,False,False,False,Dietary restrictions
Doliprane,,,False,False,False,False,False,False,Dietary restrictions
Donut milky,,"en:eggs, en:gluten, en:milk, en:soybeans",True,True,False,True,True,False,Declared allergens + Dietary restrictions
Dtink happy ana,,,False,False,False,False,False,False,Dietary restrictions
Duval sirop de menthe 750 ML,,,False,False,False,False,False,False,Dietary restrictions
Eau mineral 33cl aman,,,False,False,False,False,False,False,Dietary restrictions
Eau minérale,,,False,False,False,False,False,False,Dietary restrictions
El Mejor chef fromage 16p,,,False,False,False,False,False,False,Dietary restrictions
FONDU Khayrat 64p,,,False,False,False,False,False,False,Dietary restrictions
Fakiat,,,False,False,False,False,False,False,Dietary restrictions
Familia 200g,,en:soybeans,False,False,False,True,False,False,Declared allergens + Dietary restrictions
Flan,,,False,False,False,False,False,False,Dietary restrictions
Flan japan,,,False,False,False,False,False,False,Dietary restrictions
Flocons d’avoine,,,False,False,False,False,False,False,Dietary restrictions
Fondu or blanc cheddar 16p,,,False,False,False,False,False,False,Dietary restrictions
Fromage,,,False,False,False,False,False,False,Dietary restrictions
Ghayt,,,False,False,False,False,False,False,Dietary restrictions
Growers Harvest Tomato Purée,,,False,False,False,False,False,False,Dietary restrictions
HAWAI ANANAS 1l,,,False,False,False,False,False,False,Dietary restrictions
Hala,,en:soybeans,False,False,False,True,False,False,Declared allergens + Dietary restrictions
Hohos,,"en:eggs, en:gluten, en:milk, en:eggs, en:gluten, en:milk, en:nuts, en:soybeans",True,True,True,True,True,False,Declared allergens + Dietary restrictions
HuilOr - RICHE EN Vitamine E Oméga 3 et 6,,,False,False,False,False,False,False,Dietary restrictions
Huile de grignon d’olive,,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
ICE PULPA CITRON,,,False,False,False,False,False,False,Dietary restrictions
Ice Pulpe Orange 1.5cl,,,False,False,False,False,False,False,Dietary restrictions
Ilkgün,,,False,False,False,False,False,False,Dietary restrictions
Ita Isabel Tu?czyk w Pomid. 80gW&quot;,,,False,False,False,False,False,False,Dietary restrictions
Kelderman Dutch Stone Baked Rye Bread 9 Slices,,en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
Khayrate,,,False,False,False,False,False,False,Dietary restrictions
LA HOLLANDAISE CLASSIQUE 64P,,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
La delicieuse,,,False,False,False,False,False,False,Dietary restrictions
Lait,,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
Le berger From blanc Nat,,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
Leader Chips saveur Sel,,,False,False,False,False,False,False,Dietary restrictions
Levure rafiaa,,,False,False,False,False,False,False,Dietary restrictions
Lio produit,,,False,False,False,False,False,False,Dietary restrictions
MARG FAMILIA 400G,,en:soybeans,False,False,False,True,False,False,Declared allergens + Dietary restrictions
Marhaba,,"en:milk, en:nuts, en:soybeans",False,True,True,True,False,False,Declared allergens + Dietary restrictions
Matina,,,False,False,False,False,False,False,Dietary restrictions
Mayfine,,en:sulphur-dioxide-and-sulphites,False,False,False,False,False,False,Declared allergens + Dietary restrictions
Mayonnaise,,en:eggs,False,False,False,False,True,False,Declared allergens + Dietary restrictions
Maïs Doux,,,False,False,False,False,False,False,Dietary restrictions
Mejora,,"en:milk, en:nuts, en:soybeans",False,True,True,True,False,False,Declared allergens + Dietary restrictions
Miel,,,False,False,False,False,False,False,Dietary restrictions
Moutarde,,en:mustard,False,False,False,False,False,False,Declared allergens + Dietary restrictions
Nido,,,False,False,False,False,False,False,Dietary restrictions
Noisetta,,,False,False,False,False,False,False,Dietary restrictions
Nutabella,,,False,False,False,False,False,False,Dietary restrictions
OK Sauce Algérienne,,"en:eggs, en:mustard",False,False,False,False,True,False,Declared allergens + Dietary restrictions
Oleor,,,False,False,False,False,False,False,Dietary restrictions
Or Blanc,,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
Original Doux & crémeux,,,False,False,False,False,False,False,Dietary restrictions
Oulmes,,,False,False,False,False,False,False,Dietary restrictions
Oulmes virgin mojito,,,False,False,False,False,False,False,Dietary restrictions
Pampers complete clean aloe Vera,,,False,False,False,False,False,False,Dietary restrictions
Peanut butter,,,False,False,False,False,False,False,Dietary restrictions
Pescada,,,False,False,False,False,False,False,Dietary restrictions
Petit frais,,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
Petits fours financiers,,,False,False,False,False,False,False,Dietary restrictions
Pikota,,,False,False,False,False,False,False,Dietary restrictions
Poms 2,,,False,False,False,False,False,False,Dietary restrictions
Press up,,,False,False,False,False,False,False,Dietary restrictions
Pâte à tartiner amandes lait cacao,,,False,False,False,False,False,False,Dietary restrictions
Rafiaa,,,False,False,False,False,False,False,Dietary restrictions
Rafii,,,False,False,False,False,False,False,Dietary restrictions
Raib du bled,,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
Rhumix,,,False,False,False,False,False,False,Dietary restrictions
SALIM LBEN 440G,,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
SWEET,,,False,False,False,False,False,False,Dietary restrictions
Salim,,,False,False,False,False,False,False,Dietary restrictions
Sidi Ali Kids,,,False,False,False,False,False,False,Dietary restrictions
Sidi Harazem,,,False,False,False,False,False,False,Dietary restrictions
Smoozy,,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
Sucre arome fleur d’oranger,,,False,False,False,False,False,False,Dietary restrictions
Tchicolata,,"en:milk, en:nuts, en:soybeans",False,True,True,True,False,False,Declared allergens + Dietary restrictions
The vert de chine,,,False,False,False,False,False,False,Dietary restrictions
Thon entier à l'huile,,,False,False,False,False,False,False,Dietary restrictions
Thon à l'huile végétale,,en:fish,False,False,False,False,False,True,Declared allergens + Dietary restrictions
Tobigo,,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
Vaselene,,,False,False,False,False,False,False,Dietary restrictions
Wheat Bisks,,en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
Yankee,,"en:peanuts, en:soybeans",False,False,True,True,False,False,Declared allergens + Dietary restrictions
Yaourt ferme,,,False,False,False,False,False,False,Dietary restrictions
asirri avocat,,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
campo verde slice,,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
dalaa,,,False,False,False,False,False,False,Dietary restrictions
delicimou chocolat,,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
elviva,,,False,False,False,False,False,False,Dietary restrictions
fanta tops lemon 1.5l,,,False,False,False,False,False,False,Dietary restrictions
fondiz slices 24p,,,False,False,False,False,False,False,Dietary restrictions
fromage perly 64p,,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
hassan,,,False,False,False,False,False,False,Dietary restrictions
java timor 45g,,,False,False,False,False,False,False,Dietary restrictions
jempo,,,False,False,False,False,False,False,Dietary restrictions
la hollandaisr  8 p classique,,,False,False,False,False,False,False,Dietary restrictions
la vache qui rit,,,False,False,False,False,False,False,Dietary restrictions
la vache qui rit 24,,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
levure pâtisserie,,,False,False,False,False,False,False,Dietary restrictions
predator,,,False,False,False,False,False,False,Dietary restrictions
ptit dan up 2.50dh SpongeBob,,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
raouia,,en:soybeans,False,False,False,True,False,False,Declared allergens + Dietary restrictions
signal,,,False,False,False,False,False,False,Dietary restrictions
slice burger viva,,,False,False,False,False,False,False,Dietary restrictions
soy sauce,,,False,False,False,False,False,False,Dietary restrictions
sucre granulé,,,False,False,False,False,False,False,Dietary restrictions
tomakas,,,False,False,False,False,False,False,Dietary restrictions
vache qui rit 64p,,,False,False,False,False,False,False,Dietary restrictions
Pâtes spaghettoni n°7 500g,"166, 43122 Parma - Italy, Barilla, Barilla - Barilla G. e R. Fratelli - Società per Azioni - Via Mantova, 166 Barilla",en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
1664,"1664 Blonde,Kronenbourg","en:gluten, en:anhydride-sulfureux-et-sulfites, fr:alcool",True,False,False,False,False,False,Declared allergens + Dietary restrictions
3D's Bugles goût nature,"3D's Bugles, BENENUTS, LAYS, Lay's",en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
Herbamare original,A.Vogel,en:celery,False,False,False,False,False,False,Declared allergens + Dietary restrictions
Pure collagen,ACTION,,False,False,False,False,False,False,Dietary restrictions
Afia,AFIA,en:soybeans,False,False,False,True,False,False,Declared allergens + Dietary restrictions
Afia huile de table,AFIA,en:soybeans,False,False,False,True,False,False,Declared allergens + Dietary restrictions
Huile d'olive vierge de Maroc,ALHORRA,,False,False,False,False,False,False,Dietary restrictions
100% issu des fruits fraise,ANDROS,,False,False,False,False,False,False,Dietary restrictions
اكوافينا,AQUAFINA,,False,False,False,False,False,False,Dietary restrictions
Creamy Greek Style Yogurt,ASDA,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
Greek Style Yogurt,ASDA,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
MALTED WHEATIES,ASDA,en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
Lyle's Golden Syrup,Abram Lyle & Sons,,False,False,False,False,False,False,Dietary restrictions
Aceto Balsamico Di Modena,Acentino,,False,False,False,False,False,False,Dietary restrictions
Almond No Sugars,Acti Leaf,en:nuts,False,False,True,False,False,False,Declared allergens + Dietary restrictions
Oat Milk,Actileaf,,False,False,False,False,False,False,Dietary restrictions
Unsweetened UHT Soya Drink,Actileaf,en:soybeans,False,False,False,True,False,False,Declared allergens + Dietary restrictions
All purpose,Action,,False,False,False,False,False,False,Dietary restrictions
Activia bifidus cereales 120 g x 4 muesli,"Activia, Activia yoghurt cereals/fibres, Danone","en:gluten, en:milk, en:nuts",True,True,True,False,False,False,Declared allergens + Dietary restrictions
